entity_name,Dominant_num,Dominant,Subdominant_num,Subdominant,Third_num,Third
 Caspian SE/TR2,NA,NA,22,GRAM,20,XSHB
 SD10PVC4 core,22,GRAM,NA,NA,NA,NA
1,20,XSHB,4,WTSFS,NA,NA
10,20,XSHB,22,GRAM,NA,NA
11,20,XSHB,NA,NA,NA,NA
12,20,XSHB,NA,NA,NA,NA
13,20,XSHB,NA,NA,NA,NA
14,20,XSHB,4,WTSFS,22,GRAM
15,20,XSHB,4,WTSFS,NA,NA
16,20,XSHB,NA,NA,NA,NA
17,20,XSHB,NA,NA,NA,NA
18,27,DESE,20,XSHB,NA,NA
19,27,DESE,22,GRAM,NA,NA
2,20,XSHB,4,WTSFS,13,TEDE
20,27,DESE,20,XSHB,22,GRAM
21,27,DESE,22,GRAM,20,XSHB
22,22,GRAM,27,DESE,20,XSHB
23,22,GRAM,27,DESE,20,XSHB
24,20,XSHB,22,GRAM,NA,NA
25,20,XSHB,22,GRAM,NA,NA
26,22,GRAM,NA,NA,27,DESE
27,20,XSHB,22,GRAM,NA,NA
28,22,GRAM,20,XSHB,9,CMIX
29,20,XSHB,22,GRAM,9,CMIX
3,20,XSHB,4,WTSFS,13,TEDE
30,20,XSHB,NA,NA,NA,NA
31,20,XSHB,22,GRAM,NA,NA
32,20,XSHB,22,GRAM,9,CMIX
33,20,XSHB,22,GRAM,NA,NA
34,20,XSHB,22,GRAM,NA,NA
35,20,XSHB,22,GRAM,NA,NA
36,27,DESE,20,XSHB,NA,NA
37,27,DESE,NA,NA,NA,NA
38,22,GRAM,20,XSHB,NA,NA
39,22,GRAM,20,XSHB,NA,NA
4,20,XSHB,13,TEDE,4,WTSFS
40,22,GRAM,20,XSHB,NA,NA
41,22,GRAM,20,XSHB,15,CENF
42,20,XSHB,9,CMIX,NA,NA
43,22,GRAM,NA,NA,NA,NA
44,27,DESE,NA,NA,NA,NA
45,27,DESE,NA,NA,NA,NA
46,27,DESE,NA,NA,NA,NA
47,27,DESE,NA,NA,NA,NA
48,27,DESE,NA,NA,NA,NA
49,20,XSHB,27,DESE,22,GRAM
5,20,XSHB,13,TEDE,NA,NA
50,20,XSHB,22,GRAM,NA,NA
51,27,DESE,20,XSHB,22,GRAM
52,20,XSHB,NA,NA,NA,NA
53,20,XSHB,NA,NA,NA,NA
54,20,XSHB,NA,NA,NA,NA
55,20,XSHB,NA,NA,NA,NA
56,20,XSHB,NA,NA,NA,NA
57,27,DESE,20,XSHB,22,GRAM
58,27,DESE,22,GRAM,20,XSHB
58-1 BSM10-T1 (Om),13,TEDE,9,CMIX,NA,NA
58-2 BSM10-T3 (20m),13,TEDE,9,CMIX,NA,NA
58-3 BSM10-T4 (40m),13,TEDE,9,CMIX,NA,NA
58-4 BSM10-T7 (60m),13,TEDE,9,CMIX,NA,NA
58-5 BSM10-T9 (80m),13,TEDE,9,CMIX,NA,NA
58-6 BSM10-T11 (100m),13,TEDE,9,CMIX,NA,NA
58-7 BSM10-T13 (300m),13,TEDE,9,CMIX,NA,NA
59,27,DESE,22,GRAM,20,XSHB
6,20,XSHB,13,TEDE,NA,NA
60,27,DESE,NA,NA,NA,NA
61,27,DESE,22,GRAM,20,XSHB
62,27,DESE,20,XSHB,22,GRAM
63,27,DESE,20,XSHB,22,GRAM
64,20,XSHB,NA,NA,NA,NA
65,20,XSHB,NA,NA,NA,NA
66,20,XSHB,NA,NA,NA,NA
67,20,XSHB,27,DESE,NA,NA
68,27,DESE,20,XSHB,NA,NA
69,27,DESE,20,XSHB,NA,NA
7,20,XSHB,NA,NA,NA,NA
70,20,XSHB,27,DESE,NA,NA
71,20,XSHB,27,DESE,NA,NA
72,27,DESE,22,GRAM,20,XSHB
73,27,DESE,22,GRAM,20,XSHB
8,20,XSHB,13,TEDE,NA,NA
9,20,XSHB,22,GRAM,NA,NA
A-159 (Black Sea South-West),NA,NA,NA,NA,NA,NA
A096,9,CMIX,NA,NA,NA,NA
A097,9,CMIX,13,TEDE,NA,NA
A098,9,CMIX,8,COOL,NA,NA
Aalgastsee_ss,9,CMIX,NA,NA,NA,NA
Aalkistensee_Mba3,9,CMIX,NA,NA,NA,NA
Abies 1120,13,TEDE,NA,NA,NA,NA
Adange core 1,9,CMIX,17,ENWD,NA,NA
Adliye bridge,13,TEDE,NA,NA,NA,NA
Aglasun (Duzen Tepe),4,WTSFS,17,ENWD,13,TEDE
Aglasun_Bakker_b12,4,WTSFS,17,ENWD,8,COOL
Aglasun_Bakker_b24,4,WTSFS,17,ENWD,8,COOL
Aglasun_Bakker_b58,4,WTSFS,17,ENWD,8,COOL
Aglasun_Bakker_b59,4,WTSFS,17,ENWD,8,COOL
Aglasun_Bakker_b60,4,WTSFS,17,ENWD,8,COOL
Aglasun_Bakker_b62,4,WTSFS,17,ENWD,8,COOL
Aglasun_Bakker_b63,4,WTSFS,17,ENWD,8,COOL
Aglasun_Bakker_b64,4,WTSFS,17,ENWD,8,COOL
Akgol Adabag,22,GRAM,8,COOL,9,CMIX
AL1,22,GRAM,17,ENWD,NA,NA
AL2,22,GRAM,17,ENWD,NA,NA
AL3,22,GRAM,17,ENWD,NA,NA
Alekseevskoe boloto_SS,9,CMIX,NA,NA,NA,NA
ALI 1,20,XSHB,NA,NA,NA,NA
ALI 10,20,XSHB,NA,NA,NA,NA
ALI 11,20,XSHB,NA,NA,NA,NA
ALI 12,20,XSHB,NA,NA,NA,NA
ALI 13,20,XSHB,NA,NA,NA,NA
ALI 14,20,XSHB,NA,NA,NA,NA
ALI 2,20,XSHB,NA,NA,NA,NA
ALI 3,20,XSHB,NA,NA,NA,NA
ALI 4,20,XSHB,NA,NA,NA,NA
ALI 5,20,XSHB,NA,NA,NA,NA
ALI 6,20,XSHB,NA,NA,NA,NA
ALI 7,20,XSHB,NA,NA,NA,NA
ALI 8,20,XSHB,NA,NA,NA,NA
