taxon_name,Mean_CENF,Mean_CMIX,Mean_DESE,Mean_ENWD,Mean_GRAM,Mean_TEDE,Mean_TUND,Mean_WTSFS,Mean_XSHB,Stdev_CENF,Stdev_CMIX,Stdev_DESE,Stdev_ENWD,Stdev_GRAM,Stdev_TEDE,Stdev_TUND,Stdev_WTSFS,Stdev_XSHB
Abies,0.30190557,1.02313074,0,0.572760801,0.037230745,0.439988732,0,0.172585083,0.020475023,1.205894141,2.586121093,0,1.3848522,0.119388863,1.239152983,0,0.673983279,0.235240101
Acanthaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Acer,0.015825056,0.183492699,0,0.07792479,0.036043126,0.243172549,0,0.067950942,0,0.136836781,0.864366323,0,0.246804033,0.148474869,1.196869187,0,0.479087857,0
Aconitum,0.00127538,0.001295719,0,0.001684523,0,0,0.01886049,0.001248065,0,0.014653004,0.012690921,0,0.017012844,0,0,0.185754281,0.014339177,0
Adonis,0,0.003483107,0,0,0.00134322,0,0,0,0,0,0.040017851,0,0,0.015432419,0,0,0,0
Adoxaceae,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aesculus,0.000833993,0.022701033,0,0,0,0.14009197,0,0,0,0.009243509,0.17732509,0,0,0,1.609534192,0,0,0
Ailanthus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aizoaceae,0,0,0,0,0,0,0,0,0.000737659,0,0,0,0,0,0,0,0,0.008475058
Alnus,4.939487004,5.233562536,2.718836092,3.348466694,0.488044711,4.780134974,2.250316711,0.518791369,0.012694036,6.172738862,6.442054004,7.961609247,6.770365694,1.678083726,10.44170097,2.427912346,1.113562238,0.087596909
Alnus alnobetula,0,0.941320902,0,0,0,0,0,0,0,0,4.653249494,0,0,0,0,0,0,0
Amaranthaceae,0.41679461,0.606007109,26.02471035,8.520625142,21.81471771,2.525301732,0.114543863,2.859039077,2.67037764,0.946678682,1.205950388,24.96703153,12.2904039,24.71442535,8.674078006,0.187568658,7.666648629,6.138281338
